superkingdom	phylum	class	order	sample1	sample2	sample3	sample4	sample5
Bacteria	Actinobacteria	Nitriliruptorales	Nitriliruptoria	46.0	59.0	39.0	26.0	13.0
Bacteria	Actinobacteria	Propionibacteriales	Actinobacteria	707.0	621.0	998.0	821.0	416.0
Bacteria	Actinobacteria	Pseudonocardiales	Actinobacteria	819.0	882.0	1148.0	1119.0	656.0
Bacteria	Actinobacteria	Rubrobacterales	Rubrobacteria	79.0	71.0	137.0	94.0	22.0
Bacteria	Actinobacteria	Solirubrobacterales	Thermoleophilia	3159.0	2516.0	3594.0	1814.0	265.0
Bacteria	Actinobacteria	Streptomycetales	Actinobacteria	1443.0	1075.0	1650.0	1674.0	1212.0
Bacteria	Actinobacteria	Streptosporangiales	Actinobacteria	561.0	417.0	709.0	566.0	200.0
Bacteria	Actinobacteria	Thermoleophilales	Thermoleophilia	362.0	215.0	330.0	109.0	30.0
Bacteria	Aquificae	Aquificales	Aquificae	71.0	67.0	111.0	63.0	50.0
Bacteria	Aquificae	Desulfurobacteriales	Aquificae	8.0	10.0	7.0	11.0	23.0
Bacteria	Armatimonadetes	Chthonomonadales	Chthonomonadetes	108.0	204.0	167.0	276.0	220.0
Bacteria	Armatimonadetes	Fimbriimonadales	Fimbriimonadia	67.0	72.0	73.0	113.0	24.0
Bacteria	Armatimonadetes	NA	NA	404.0	585.0	475.0	683.0	547.0
Bacteria	Bacteroidetes	Bacteroidales	Bacteroidia	447.0	1518.0	2032.0	5708.0	23904.0
Bacteria	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	NA	92.0	74.0	114.0	122.0	62.0
Bacteria	Bacteroidetes	Chitinophagales	Chitinophagia	1625.0	2705.0	3989.0	4529.0	2343.0
Bacteria	Bacteroidetes	Cytophagales	Cytophagia	1220.0	1508.0	2887.0	3572.0	9718.0
Bacteria	Bacteroidetes	Flavobacteriales	Flavobacteriia	1370.0	1537.0	2356.0	3624.0	8942.0
Bacteria	Bacteroidetes	Marinilabiliales	Bacteroidia	126.0	797.0	879.0	2966.0	9996.0
Bacteria	Bacteroidetes	NA	Bacteroidia	11.0	48.0	51.0	115.0	676.0
Bacteria	Bacteroidetes	NA	Flavobacteriia	71.0	59.0	120.0	142.0	342.0
Bacteria	Bacteroidetes	NA	NA	2138.0	5127.0	6716.0	15908.0	49712.0
Bacteria	Bacteroidetes	NA	Sphingobacteriia	6.0	16.0	102.0	67.0	16.0
Bacteria	Bacteroidetes	Saprospirales	Saprospiria	49.0	133.0	214.0	239.0	271.0
Bacteria	Bacteroidetes	Sphingobacteriales	Sphingobacteriia	1347.0	3283.0	3489.0	3604.0	3784.0
Bacteria	Balneolaeota	Balneolales	Balneolia	44.0	39.0	58.0	78.0	113.0
Bacteria	Caldiserica	Caldisericales	Caldisericia	4.0	12.0	4.0	11.0	302.0
Bacteria	Calditrichaeota	Calditrichales	Calditrichae	29.0	32.0	32.0	65.0	51.0
Bacteria	Candidatus Abawacabacteria	NA	NA	1.0	3.0	12.0	5.0	2.0
Bacteria	Candidatus Acetothermia	NA	NA	24.0	17.0	23.0	32.0	12.0
Bacteria	Candidatus Adlerbacteria	NA	NA	15.0	8.0	31.0	19.0	15.0
Bacteria	Candidatus Amesbacteria	NA	NA	12.0	6.0	30.0	17.0	16.0
Bacteria	Candidatus Aminicenantes	NA	NA	137.0	111.0	144.0	175.0	135.0
Bacteria	Candidatus Atribacteria	NA	NA	9.0	21.0	18.0	31.0	116.0
Bacteria	Candidatus Azambacteria	NA	NA	6.0	7.0	4.0	11.0	15.0
Bacteria	Candidatus Beckwithbacteria	NA	NA	5.0	2.0	5.0	1.0	12.0
Bacteria	Candidatus Berkelbacteria	NA	NA	18.0	33.0	29.0	35.0	114.0
Bacteria	Candidatus Blackburnbacteria	NA	NA	4.0	5.0	4.0	21.0	14.0
Bacteria	Candidatus Buchananbacteria	NA	NA	10.0	18.0	5.0	13.0	34.0
Bacteria	Candidatus Campbellbacteria	NA	NA	2.0	3.0	0	10.0	16.0
Bacteria	Candidatus Chisholmbacteria	NA	NA	3.0	6.0	12.0	9.0	1.0
Bacteria	Candidatus Cloacimonetes	NA	NA	30.0	45.0	49.0	62.0	118.0
Bacteria	Candidatus Coatesbacteria	NA	NA	4.0	4.0	5.0	10.0	17.0
Bacteria	Candidatus Collierbacteria	NA	NA	14.0	12.0	6.0	4.0	28.0
Bacteria	Candidatus Colwellbacteria	NA	NA	2.0	2.0	3.0	4.0	6.0
Bacteria	Candidatus Curtissbacteria	NA	NA	17.0	15.0	19.0	31.0	30.0
Bacteria	Candidatus Dadabacteria	NA	NA	68.0	45.0	94.0	81.0	57.0
Bacteria	Candidatus Daviesbacteria	NA	NA	50.0	42.0	38.0	34.0	49.0
Bacteria	Candidatus Delongbacteria	NA	NA	2.0	7.0	3.0	7.0	26.0
Bacteria	Candidatus Desantisbacteria	NA	NA	16.0	19.0	13.0	49.0	91.0
Bacteria	Candidatus Doudnabacteria	NA	NA	34.0	56.0	62.0	84.0	42.0
Bacteria	Candidatus Edwardsbacteria	NA	NA	2.0	21.0	19.0	25.0	51.0
Bacteria	Candidatus Eisenbacteria	NA	NA	92.0	164.0	86.0	171.0	16.0
Bacteria	Candidatus Falkowbacteria	NA	NA	18.0	68.0	20.0	55.0	691.0
Bacteria	Candidatus Firestonebacteria	NA	NA	13.0	45.0	18.0	43.0	120.0
Bacteria	Candidatus Fischerbacteria	NA	NA	16.0	20.0	23.0	21.0	23.0
Bacteria	Candidatus Fraserbacteria	NA	NA	11.0	9.0	9.0	24.0	11.0
Bacteria	Candidatus Giovannonibacteria	NA	NA	39.0	62.0	57.0	24.0	20.0
Bacteria	Candidatus Glassbacteria	NA	NA	23.0	47.0	26.0	46.0	52.0
Bacteria	Candidatus Gottesmanbacteria	NA	NA	48.0	47.0	56.0	54.0	95.0
Bacteria	Candidatus Gracilibacteria	NA	NA	1.0	497.0	23.0	7.0	6.0
Bacteria	Candidatus Handelsmanbacteria	NA	NA	135.0	118.0	128.0	158.0	67.0
Bacteria	Candidatus Harrisonbacteria	NA	NA	5.0	8.0	4.0	7.0	16.0
Bacteria	Candidatus Hydrogenedentes	NA	NA	13.0	7.0	10.0	19.0	7.0
Bacteria	Candidatus Jorgensenbacteria	NA	NA	9.0	2.0	19.0	3.0	32.0
Bacteria	Candidatus Kaiserbacteria	NA	NA	65.0	60.0	95.0	177.0	92.0
Bacteria	Candidatus Kerfeldbacteria	NA	NA	11.0	4.0	13.0	3.0	8.0
Bacteria	Candidatus Komeilibacteria	NA	NA	5.0	4.0	10.0	9.0	19.0
Bacteria	Candidatus Kryptonia	NA	NA	44.0	43.0	41.0	75.0	23.0
Bacteria	Candidatus Kuenenbacteria	NA	NA	3.0	34.0	5.0	10.0	17.0
Bacteria	Candidatus Latescibacteria	NA	NA	53.0	41.0	40.0	58.0	46.0
Bacteria	Candidatus Levybacteria	NA	NA	33.0	35.0	59.0	55.0	87.0
Bacteria	Candidatus Lindowbacteria	NA	NA	18.0	33.0	32.0	58.0	8.0
Bacteria	Candidatus Liptonbacteria	NA	NA	10.0	13.0	22.0	29.0	3.0
Bacteria	Candidatus Lloydbacteria	NA	NA	26.0	8.0	26.0	37.0	37.0
Bacteria	Candidatus Magasanikbacteria	NA	NA	29.0	53.0	33.0	59.0	149.0
Bacteria	Candidatus Margulisbacteria	NA	NA	12.0	7.0	27.0	17.0	33.0
Bacteria	Candidatus Marinimicrobia	NA	NA	25.0	33.0	54.0	54.0	106.0
Bacteria	Candidatus Microgenomates	NA	NA	4.0	8.0	10.0	8.0	20.0
Bacteria	Candidatus Moranbacteria	NA	NA	68.0	77.0	130.0	105.0	136.0
Bacteria	Candidatus Nealsonbacteria	NA	NA	4.0	7.0	6.0	6.0	19.0
Bacteria	Candidatus Niyogibacteria	NA	NA	1.0	0	0	3.0	37.0
Bacteria	Candidatus Nomurabacteria	NA	NA	55.0	124.0	56.0	433.0	2678.0
Bacteria	Candidatus Omnitrophica	NA	NA	513.0	578.0	531.0	763.0	498.0
Bacteria	Candidatus Pacebacteria	NA	NA	7.0	1.0	0	5.0	5.0
Bacteria	Candidatus Parcubacteria	NA	NA	16.0	34.0	36.0	59.0	440.0
Bacteria	Candidatus Peregrinibacteria	NA	Candidatus Peribacteria	19.0	21.0	35.0	32.0	12.0
Bacteria	Candidatus Peregrinibacteria	NA	NA	54.0	34.0	35.0	40.0	37.0
Bacteria	Candidatus Poribacteria	NA	NA	1.0	0	3.0	0	0
Bacteria	Candidatus Portnoybacteria	NA	NA	2.0	8.0	2.0	6.0	18.0
Bacteria	Candidatus Raymondbacteria	NA	NA	18.0	139.0	12.0	38.0	52.0
Bacteria	Candidatus Riflebacteria	NA	NA	8.0	40.0	15.0	30.0	25.0
Bacteria	Candidatus Roizmanbacteria	NA	NA	39.0	31.0	58.0	49.0	106.0
Bacteria	Candidatus Rokubacteria	NA	NA	5769.0	1955.0	2835.0	2061.0	104.0
Bacteria	Candidatus Ryanbacteria	NA	NA	11.0	11.0	23.0	6.0	9.0
Bacteria	Candidatus Saccharibacteria	NA	NA	25.0	56.0	98.0	78.0	539.0
Bacteria	Candidatus Schekmanbacteria	NA	NA	58.0	52.0	112.0	139.0	35.0
Bacteria	Candidatus Shapirobacteria	NA	NA	3.0	3.0	7.0	7.0	91.0
Bacteria	Candidatus Spechtbacteria	NA	NA	7.0	3.0	4.0	6.0	12.0
Bacteria	Candidatus Staskawiczbacteria	NA	NA	13.0	20.0	29.0	30.0	46.0
Bacteria	Candidatus Sungbacteria	NA	NA	16.0	13.0	19.0	24.0	10.0
Bacteria	Candidatus Taylorbacteria	NA	NA	15.0	41.0	50.0	107.0	125.0
Bacteria	Candidatus Tectomicrobia	NA	NA	491.0	433.0	1920.0	573.0	408.0
Bacteria	Candidatus Terrybacteria	NA	NA	8.0	13.0	13.0	12.0	47.0
Bacteria	Candidatus Uhrbacteria	NA	NA	28.0	36.0	53.0	60.0	88.0
Bacteria	Candidatus Vogelbacteria	NA	NA	3.0	6.0	2.0	5.0	26.0
Bacteria	Candidatus Wallbacteria	NA	NA	3.0	5.0	5.0	8.0	9.0
Bacteria	Candidatus Wildermuthbacteria	NA	NA	12.0	5.0	9.0	6.0	11.0
Bacteria	Candidatus Wirthbacteria	NA	NA	11.0	7.0	7.0	7.0	3.0
Bacteria	Candidatus Woesebacteria	NA	NA	46.0	53.0	51.0	46.0	103.0
Bacteria	Candidatus Wolfebacteria	NA	NA	1.0	5.0	12.0	18.0	66.0
Bacteria	Candidatus Woykebacteria	NA	NA	9.0	14.0	9.0	18.0	8.0
Bacteria	Candidatus Yanofskybacteria	NA	NA	50.0	35.0	53.0	88.0	48.0
Bacteria	Candidatus Yonathbacteria	NA	NA	9.0	2.0	22.0	22.0	24.0
Bacteria	Candidatus Zambryskibacteria	NA	NA	22.0	19.0	21.0	51.0	75.0
Bacteria	Chlamydiae	Chlamydiales	Chlamydiia	1978.0	1717.0	3195.0	7634.0	5745.0
Bacteria	Chlamydiae	NA	Chlamydiia	39.0	27.0	78.0	18.0	5.0
Bacteria	Chlamydiae	NA	NA	15.0	23.0	31.0	18.0	13.0
Bacteria	Chlamydiae	Parachlamydiales	Chlamydiia	122.0	68.0	223.0	109.0	26.0
Bacteria	Chlorobi	Chlorobiales	Chlorobia	122.0	133.0	140.0	197.0	274.0
Bacteria	Chlorobi	NA	NA	155.0	274.0	277.0	376.0	148.0
Bacteria	Chloroflexi	Anaerolineales	Anaerolineae	659.0	558.0	1023.0	832.0	2680.0
Bacteria	Chloroflexi	Ardenticatenales	Ardenticatenia	114.0	103.0	112.0	114.0	84.0
Bacteria	Chloroflexi	Caldilineales	Caldilineae	76.0	143.0	286.0	146.0	63.0
Bacteria	Chloroflexi	Chloroflexales	Chloroflexia	222.0	286.0	343.0	305.0	107.0
Bacteria	Chloroflexi	Dehalococcoidales	Dehalococcoidia	143.0	66.0	239.0	172.0	265.0
Bacteria	Chloroflexi	Herpetosiphonales	Chloroflexia	48.0	57.0	36.0	69.0	52.0
Bacteria	Chloroflexi	Ktedonobacterales	Ktedonobacteria	276.0	291.0	485.0	668.0	79.0
Bacteria	Chloroflexi	NA	Anaerolineae	476.0	678.0	862.0	954.0	1071.0
Bacteria	Chloroflexi	NA	Dehalococcoidia	227.0	162.0	218.0	194.0	394.0
Bacteria	Chloroflexi	NA	Ktedonobacteria	12.0	6.0	12.0	24.0	5.0
