superkingdom	phylum	class	order	sample1	sample2	sample3	sample4	sample5
Bacteria	Proteobacteria	Kordiimonadales	Alphaproteobacteria	20.0	23.0	30.0	22.0	3.0
Bacteria	Proteobacteria	Legionellales	Gammaproteobacteria	241.0	261.0	415.0	556.0	392.0
Bacteria	Proteobacteria	Magnetococcales	Alphaproteobacteria	19.0	16.0	22.0	32.0	6.0
Bacteria	Proteobacteria	Mariprofundales	Zetaproteobacteria	11.0	11.0	18.0	14.0	18.0
Bacteria	Proteobacteria	Methylococcales	Gammaproteobacteria	1153.0	692.0	2906.0	640.0	476.0
Bacteria	Proteobacteria	Methylophilales	Betaproteobacteria	232.0	241.0	738.0	359.0	1115.0
Bacteria	Proteobacteria	Micropepsales	Alphaproteobacteria	33.0	26.0	30.0	42.0	2.0
Bacteria	Proteobacteria	Myxococcales	Deltaproteobacteria	1756.0	2069.0	2080.0	2473.0	11086.0
Bacteria	Proteobacteria	NA	Alphaproteobacteria	2092.0	1308.0	2551.0	2029.0	223.0
Bacteria	Proteobacteria	NA	Betaproteobacteria	10518.0	8921.0	20562.0	10121.0	2921.0
Bacteria	Proteobacteria	NA	Candidatus Lambdaproteobacteria	8.0	10.0	32.0	7.0	37.0
Bacteria	Proteobacteria	NA	Candidatus Muproteobacteria	124.0	121.0	222.0	149.0	52.0
Bacteria	Proteobacteria	NA	Deltaproteobacteria	5045.0	2942.0	5091.0	4077.0	3788.0
Bacteria	Proteobacteria	NA	Epsilonproteobacteria	10.0	20.0	21.0	41.0	72.0
Bacteria	Proteobacteria	NA	Gammaproteobacteria	4407.0	3794.0	6544.0	18046.0	14441.0
Bacteria	Proteobacteria	NA	NA	4466.0	4414.0	6835.0	20719.0	16931.0
Bacteria	Proteobacteria	NA	Zetaproteobacteria	21.0	33.0	39.0	46.0	49.0
Bacteria	Proteobacteria	Nautiliales	Epsilonproteobacteria	6.0	9.0	6.0	7.0	4.0
Bacteria	Proteobacteria	Neisseriales	Betaproteobacteria	382.0	434.0	764.0	475.0	239.0
Bacteria	Proteobacteria	Nevskiales	Gammaproteobacteria	133.0	148.0	219.0	208.0	94.0
Bacteria	Proteobacteria	Nitrosomonadales	Betaproteobacteria	1179.0	909.0	1683.0	972.0	553.0
Bacteria	Proteobacteria	Oceanospirillales	Gammaproteobacteria	361.0	360.0	550.0	538.0	286.0
Bacteria	Proteobacteria	Orbales	Gammaproteobacteria	14.0	9.0	26.0	93.0	53.0
Bacteria	Proteobacteria	Parvularculales	Alphaproteobacteria	9.0	7.0	43.0	4.0	0
Bacteria	Proteobacteria	Pasteurellales	Gammaproteobacteria	8407.0	6063.0	12679.0	41160.0	34950.0
Bacteria	Proteobacteria	Pelagibacterales	Alphaproteobacteria	23.0	23.0	35.0	47.0	24.0
Bacteria	Proteobacteria	Pseudomonadales	Gammaproteobacteria	1436.0	1407.0	2279.0	1662.0	1233.0
Bacteria	Proteobacteria	Rhizobiales	Alphaproteobacteria	10243.0	6969.0	15915.0	12672.0	27867.0
Bacteria	Proteobacteria	Rhodobacterales	Alphaproteobacteria	1453.0	1999.0	2238.0	1978.0	453.0
Bacteria	Proteobacteria	Rhodocyclales	Betaproteobacteria	855.0	981.0	2366.0	1506.0	1305.0
Bacteria	Proteobacteria	Rhodospirillales	Alphaproteobacteria	3386.0	2979.0	5731.0	4732.0	2093.0
Bacteria	Proteobacteria	Rickettsiales	Alphaproteobacteria	257.0	239.0	402.0	706.0	749.0
Bacteria	Proteobacteria	Salinisphaerales	Gammaproteobacteria	5.0	19.0	17.0	21.0	10.0
Bacteria	Proteobacteria	Sneathiellales	Alphaproteobacteria	35.0	20.0	59.0	29.0	1.0
Bacteria	Proteobacteria	Sphingomonadales	Alphaproteobacteria	688.0	678.0	1052.0	915.0	314.0
Bacteria	Proteobacteria	Sulfuricellales	Betaproteobacteria	89.0	121.0	338.0	154.0	98.0
Bacteria	Proteobacteria	Syntrophobacterales	Deltaproteobacteria	346.0	275.0	709.0	1129.0	7084.0
Bacteria	Proteobacteria	Thiotrichales	Gammaproteobacteria	279.0	248.0	429.0	400.0	175.0
Bacteria	Proteobacteria	Vibrionales	Gammaproteobacteria	1230.0	900.0	1843.0	7225.0	3470.0
Bacteria	Proteobacteria	Xanthomonadales	Gammaproteobacteria	815.0	909.0	1094.0	1248.0	500.0
Bacteria	Spirochaetes	Brachyspirales	Spirochaetia	8.0	18.0	6.0	8.0	13.0
Bacteria	Spirochaetes	NA	NA	73.0	125.0	142.0	216.0	425.0
Bacteria	Spirochaetes	NA	Spirochaetia	57.0	57.0	117.0	139.0	113.0
Bacteria	Spirochaetes	Spirochaetales	Spirochaetia	117.0	150.0	204.0	206.0	543.0
Bacteria	Synergistetes	Synergistales	Synergistia	76.0	65.0	114.0	110.0	270.0
Bacteria	Tenericutes	Acholeplasmatales	Mollicutes	6.0	15.0	21.0	20.0	27.0
Bacteria	Tenericutes	Entomoplasmatales	Mollicutes	10.0	12.0	14.0	4.0	23.0
Bacteria	Tenericutes	Mycoplasmatales	Mollicutes	21.0	26.0	33.0	24.0	35.0
Bacteria	Tenericutes	NA	Mollicutes	4.0	0	0	0	0
Bacteria	Tenericutes	NA	NA	3.0	8.0	3.0	15.0	51.0
Bacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteria	47.0	40.0	25.0	52.0	54.0
Bacteria	Thermotogae	Kosmotogales	Thermotogae	23.0	7.0	13.0	4.0	18.0
Bacteria	Thermotogae	Mesoaciditogales	Thermotogae	1.0	2.0	2.0	3.0	30.0
Bacteria	Thermotogae	Petrotogales	Thermotogae	12.0	17.0	15.0	28.0	225.0
Bacteria	Thermotogae	Thermotogales	Thermotogae	68.0	57.0	117.0	112.0	169.0
Bacteria	Verrucomicrobia	Chthoniobacterales	Spartobacteria	462.0	380.0	712.0	516.0	105.0
Bacteria	Verrucomicrobia	Methylacidiphilales	Methylacidiphilae	23.0	31.0	45.0	38.0	13.0
Bacteria	Verrucomicrobia	NA	NA	4238.0	1257.0	2503.0	2559.0	491.0
Bacteria	Verrucomicrobia	NA	Opitutae	2.0	4.0	0	6.0	6.0
Bacteria	Verrucomicrobia	NA	Spartobacteria	45.0	51.0	75.0	53.0	28.0
Bacteria	Verrucomicrobia	Opitutales	Opitutae	709.0	928.0	1858.0	1263.0	489.0
Bacteria	Verrucomicrobia	Puniceicoccales	Opitutae	6.0	15.0	18.0	27.0	17.0
Bacteria	Verrucomicrobia	Verrucomicrobiales	Verrucomicrobiae	2133.0	2381.0	4203.0	3242.0	749.0
Bacteria	candidate division CPR1	NA	NA	5.0	3.0	5.0	1.0	6.0
Bacteria	candidate division CPR2	NA	NA	1.0	6.0	10.0	7.0	36.0
Bacteria	candidate division CPR3	NA	NA	3.0	3.0	1.0	6.0	8.0
Bacteria	candidate division Hyd24-12	NA	NA	2.0	11.0	2.0	8.0	10.0
Bacteria	candidate division KD3-62	NA	NA	8.0	13.0	7.0	8.0	35.0
Bacteria	candidate division NC10	NA	NA	307.0	184.0	288.0	261.0	174.0
Bacteria	candidate division WOR-3	NA	NA	12.0	7.0	15.0	22.0	50.0
Bacteria	candidate division WWE3	NA	NA	36.0	25.0	38.0	32.0	65.0
Bacteria	candidate division Zixibacteria	NA	NA	147.0	134.0	264.0	203.0	163.0
Eukaryota	Apicomplexa	Eucoccidiorida	Coccidia	51.0	44.0	437.0	50.0	103.0
Eukaryota	Apicomplexa	Eugregarinorida	Gregarinasina	3.0	7.0	24.0	5.0	30.0
Eukaryota	Apicomplexa	Haemosporida	Aconoidasida	248.0	1435.0	1531.0	355.0	428.0
Eukaryota	Apicomplexa	NA	Aconoidasida	63.0	19.0	356.0	42.0	277.0
Eukaryota	Ascomycota	Botryosphaeriales	Dothideomycetes	10.0	5.0	15.0	4.0	4.0
Eukaryota	Ascomycota	Capnodiales	Dothideomycetes	62.0	97.0	920.0	79.0	137.0
Eukaryota	Ascomycota	Chaetothyriales	Eurotiomycetes	31.0	19.0	167.0	28.0	18.0
Eukaryota	Ascomycota	Diaporthales	Sordariomycetes	5.0	0	25.0	5.0	16.0
Eukaryota	Ascomycota	Dothideales	Dothideomycetes	3.0	10.0	19.0	7.0	0
Eukaryota	Ascomycota	Erysiphales	Leotiomycetes	9.0	1.0	59.0	3.0	1.0
Eukaryota	Ascomycota	Eurotiales	Eurotiomycetes	1815.0	862.0	13596.0	1047.0	174.0
Eukaryota	Ascomycota	Glomerellales	Sordariomycetes	9.0	7.0	107.0	6.0	5.0
Eukaryota	Ascomycota	Helotiales	Leotiomycetes	758.0	533.0	7855.0	665.0	53.0
Eukaryota	Ascomycota	Hypocreales	Sordariomycetes	467.0	90.0	779.0	53.0	328.0
Eukaryota	Ascomycota	Magnaporthales	Sordariomycetes	4.0	0	32.0	1.0	2.0
Eukaryota	Ascomycota	Microascales	Sordariomycetes	7.0	2.0	15.0	1.0	16.0
Eukaryota	Ascomycota	NA	Dothideomycetes	1826.0	560.0	40569.0	632.0	91.0
Eukaryota	Ascomycota	NA	Eurotiomycetes	3.0	1.0	19.0	3.0	2.0
Eukaryota	Ascomycota	NA	Leotiomycetes	543.0	700.0	3321.0	147.0	24.0
Eukaryota	Ascomycota	NA	NA	1735.0	642.0	27068.0	562.0	1253.0
Eukaryota	Ascomycota	NA	Sordariomycetes	16.0	9.0	58.0	14.0	9.0
Eukaryota	Ascomycota	Neolectales	Neolectomycetes	12.0	6.0	222.0	8.0	0
Eukaryota	Ascomycota	Onygenales	Eurotiomycetes	33.0	20.0	286.0	36.0	325.0
Eukaryota	Ascomycota	Ophiostomatales	Sordariomycetes	3.0	3.0	34.0	6.0	7.0
Eukaryota	Ascomycota	Orbiliales	Orbiliomycetes	31.0	3.0	68.0	14.0	10.0
Eukaryota	Ascomycota	Pezizales	Pezizomycetes	11.0	6.0	98.0	4.0	20.0
Eukaryota	Ascomycota	Phaeomoniellales	Eurotiomycetes	4.0	0	23.0	0	0
Eukaryota	Ascomycota	Pleosporales	Dothideomycetes	1342.0	298.0	11952.0	182.0	47.0
Eukaryota	Ascomycota	Pneumocystidales	Pneumocystidomycetes	9.0	9.0	80.0	11.0	27.0
Eukaryota	Ascomycota	Saccharomycetales	Saccharomycetes	882.0	377.0	11869.0	412.0	386.0
Eukaryota	Ascomycota	Schizosaccharomycetales	Schizosaccharomycetes	16.0	9.0	85.0	13.0	30.0
Eukaryota	Ascomycota	Sordariales	Sordariomycetes	528.0	1776.0	7967.0	63.0	33.0
Eukaryota	Ascomycota	Taphrinales	Taphrinomycetes	7.0	14.0	91.0	18.0	0
Eukaryota	Ascomycota	Togniniales	Sordariomycetes	2.0	1.0	15.0	0	0
Eukaryota	Ascomycota	Umbilicariales	Lecanoromycetes	7.0	0	16.0	0	0
Eukaryota	Ascomycota	Venturiales	Dothideomycetes	2.0	0	14.0	2.0	18.0
Eukaryota	Ascomycota	Verrucariales	Eurotiomycetes	2.0	1.0	3.0	1.0	0
Eukaryota	Ascomycota	Xylariales	Sordariomycetes	14.0	44.0	127.0	37.0	6.0
Eukaryota	Ascomycota	Xylonomycetales	Xylonomycetes	2.0	0	16.0	6.0	0
Eukaryota	Bacillariophyta	Bacillariales	Bacillariophyceae	99.0	39.0	275.0	32.0	37.0
Eukaryota	Bacillariophyta	Eupodiscales	Mediophyceae	1.0	0	0	1.0	0
Eukaryota	Bacillariophyta	Fragilariales	Fragilariophyceae	2.0	0	13.0	1.0	4.0
Eukaryota	Bacillariophyta	Lithodesmiales	Mediophyceae	1.0	0	1.0	0	0
Eukaryota	Bacillariophyta	NA	Bacillariophyceae	1.0	1.0	19.0	0	0
Eukaryota	Bacillariophyta	NA	NA	12.0	4.0	31.0	7.0	4.0
Eukaryota	Bacillariophyta	Naviculales	Bacillariophyceae	16.0	15.0	162.0	21.0	26.0
Eukaryota	Bacillariophyta	Thalassiosirales	Coscinodiscophyceae	387.0	171.0	1433.0	219.0	1066.0
Eukaryota	Basidiomycota	Agaricales	Agaricomycetes	1168.0	303.0	1969.0	238.0	630.0
Eukaryota	Basidiomycota	Amylocorticiales	Agaricomycetes	7.0	18.0	34.0	1.0	0
Eukaryota	Basidiomycota	Atheliales	Agaricomycetes	93.0	146.0	335.0	87.0	15.0
Eukaryota	Basidiomycota	Auriculariales	Agaricomycetes	6.0	2.0	67.0	11.0	2.0
Eukaryota	Basidiomycota	Boletales	Agaricomycetes	30.0	415.0	391.0	86.0	1655.0
Eukaryota	Basidiomycota	Cantharellales	Agaricomycetes	25.0	15.0	146.0	16.0	19.0
Eukaryota	Basidiomycota	Ceraceosorales	Exobasidiomycetes	11.0	5.0	11.0	3.0	4.0
Eukaryota	Basidiomycota	Corticiales	Agaricomycetes	6.0	4.0	79.0	15.0	3.0
Eukaryota	Basidiomycota	Cystofilobasidiales	Tremellomycetes	2.0	0	33.0	3.0	11.0
Eukaryota	Basidiomycota	Dacrymycetales	Dacrymycetes	29.0	11.0	133.0	22.0	12.0
Eukaryota	Basidiomycota	Geastrales	Agaricomycetes	4.0	1.0	23.0	8.0	0
Eukaryota	Basidiomycota	Georgefischeriales	Exobasidiomycetes	1.0	4.0	17.0	1.0	11.0
Eukaryota	Basidiomycota	Gloeophyllales	Agaricomycetes	4.0	3.0	1.0	7.0	0
Eukaryota	Basidiomycota	Hymenochaetales	Agaricomycetes	4.0	11.0	71.0	17.0	9.0
Eukaryota	Basidiomycota	Jaapiales	Agaricomycetes	93.0	88.0	1246.0	38.0	7.0
Eukaryota	Basidiomycota	Leucosporidiales	Microbotryomycetes	1.0	2.0	17.0	5.0	5.0
Eukaryota	Basidiomycota	Malasseziales	Malasseziomycetes	11.0	13.0	61.0	14.0	27.0
Eukaryota	Basidiomycota	Microbotryales	Microbotryomycetes	6.0	23.0	17.0	6.0	5.0
Eukaryota	Basidiomycota	Mixiales	Mixiomycetes	11.0	16.0	84.0	21.0	32.0
Eukaryota	Basidiomycota	NA	Agaricomycetes	270.0	146.0	2794.0	153.0	222.0
Eukaryota	Basidiomycota	NA	Exobasidiomycetes	1.0	0	14.0	2.0	0
Eukaryota	Basidiomycota	NA	Microbotryomycetes	5.0	2.0	4.0	5.0	0
Eukaryota	Basidiomycota	NA	NA	704.0	101.0	659.0	95.0	33.0
Eukaryota	Basidiomycota	NA	Tremellomycetes	3.0	0	1.0	0	2.0
Eukaryota	Basidiomycota	Polyporales	Agaricomycetes	36.0	135.0	332.0	50.0	101.0
Eukaryota	Basidiomycota	Pucciniales	Pucciniomycetes	567.0	127.0	1865.0	142.0	131.0
Eukaryota	Basidiomycota	Russulales	Agaricomycetes	21.0	14.0	101.0	2.0	18.0
Eukaryota	Basidiomycota	Sebacinales	Agaricomycetes	107.0	51.0	143.0	33.0	37.0
Eukaryota	Basidiomycota	Sporidiobolales	Microbotryomycetes	22.0	29.0	331.0	9.0	3.0
Eukaryota	Basidiomycota	Tilletiales	Exobasidiomycetes	6.0	2.0	106.0	3.0	2.0
Eukaryota	Basidiomycota	Trechisporales	Agaricomycetes	12.0	2.0	227.0	4.0	3.0
Eukaryota	Basidiomycota	Tremellales	Tremellomycetes	66.0	112.0	781.0	59.0	73.0
Eukaryota	Basidiomycota	Trichosporonales	Tremellomycetes	38.0	3.0	92.0	16.0	3.0
Eukaryota	Basidiomycota	Ustilaginales	Ustilaginomycetes	10.0	15.0	109.0	17.0	9.0
Eukaryota	Basidiomycota	Wallemiales	Wallemiomycetes	9.0	5.0	70.0	8.0	2.0
Eukaryota	Blastocladiomycota	Blastocladiales	Blastocladiomycetes	47.0	43.0	230.0	23.0	36.0
Eukaryota	Chlorophyta	Bryopsidales	Ulvophyceae	1.0	0	20.0	0	3.0
Eukaryota	Chlorophyta	Chlamydomonadales	Chlorophyceae	113.0	67.0	563.0	107.0	214.0
Eukaryota	Chlorophyta	Chlorellales	Trebouxiophyceae	106.0	95.0	469.0	99.0	223.0
Eukaryota	Chlorophyta	Cladophorales	Ulvophyceae	2.0	0	5.0	0	0
Eukaryota	Chlorophyta	Dasycladales	Ulvophyceae	1.0	0	1.0	0	1.0
Eukaryota	Chlorophyta	Mamiellales	Mamiellophyceae	113.0	72.0	575.0	120.0	115.0
Eukaryota	Chlorophyta	Microthamniales	Trebouxiophyceae	2.0	4.0	48.0	2.0	0
Eukaryota	Chlorophyta	NA	Mamiellophyceae	1.0	2.0	7.0	0	0
Eukaryota	Chlorophyta	NA	NA	18.0	9.0	102.0	28.0	40.0
Eukaryota	Chlorophyta	NA	Trebouxiophyceae	146.0	126.0	1022.0	429.0	231.0
Eukaryota	Chlorophyta	Pyramimonadales	NA	6.0	0	21.0	2.0	3.0
Eukaryota	Chlorophyta	Sphaeropleales	Chlorophyceae	29.0	19.0	248.0	16.0	23.0
Eukaryota	Chlorophyta	Ulotrichales	Ulvophyceae	2.0	0	0	1.0	0
Eukaryota	Chlorophyta	Ulvales	Ulvophyceae	1.0	5.0	18.0	1.0	5.0
Eukaryota	Chromerida	NA	NA	38.0	19.0	221.0	41.0	37.0
Eukaryota	Chytridiomycota	Chytridiales	Chytridiomycetes	155.0	73.0	1621.0	277.0	46.0
Eukaryota	Chytridiomycota	Monoblepharidales	Monoblepharidomycetes	7.0	23.0	125.0	17.0	28.0
Eukaryota	Chytridiomycota	NA	Chytridiomycetes	4.0	0	15.0	1.0	0
Eukaryota	Chytridiomycota	Rhizophydiales	Chytridiomycetes	77.0	78.0	638.0	75.0	71.0
Eukaryota	Chytridiomycota	Spizellomycetales	Chytridiomycetes	33.0	23.0	157.0	25.0	40.0
Eukaryota	Colponemidia	NA	NA	2.0	11.0	25.0	4.0	34.0
Eukaryota	Cryptomycota	NA	NA	21.0	16.0	135.0	8.0	29.0
Eukaryota	Euglenida	Euglenales	NA	10.0	6.0	39.0	16.0	16.0
Eukaryota	Euglenida	Heteronematales	NA	1.0	18.0	25.0	1.0	0
Eukaryota	Eustigmatophyceae	Eustigmatales	NA	29.0	37.0	189.0	40.0	39.0
Eukaryota	Haplosporidia	NA	NA	1.0	0	1.0	0	0
Eukaryota	Microsporidia	NA	NA	270.0	250.0	2946.0	449.0	376.0
Eukaryota	Mucoromycota	Glomerales	Glomeromycetes	33.0	15.0	406.0	42.0	29.0
Eukaryota	Mucoromycota	Mortierellales	NA	44.0	50.0	571.0	26.0	21.0
Eukaryota	Mucoromycota	Mucorales	NA	2403.0	1952.0	3819.0	4603.0	5740.0
Eukaryota	NA	Acrasida	Heterolobosea	1.0	10.0	0	0	3.0
Eukaryota	NA	Albuginales	Oomycetes	93.0	70.0	335.0	44.0	10.0
Eukaryota	NA	Arcellinida	NA	5.0	2.0	33.0	0	0
Eukaryota	NA	Bangiales	Bangiophyceae	43.0	82.0	134.0	9.0	47.0
Eukaryota	NA	Bicosoecida	NA	4.0	3.0	23.0	5.0	0
Eukaryota	NA	Ceramiales	Florideophyceae	3.0	6.0	19.0	11.0	5.0
Eukaryota	NA	Cercomonadida	NA	44.0	25.0	63.0	29.0	5.0
Eukaryota	NA	Chattonellales	Raphidophyceae	1.0	3.0	11.0	3.0	0
Eukaryota	NA	Choanoflagellida	NA	125.0	261.0	602.0	79.0	71.0
Eukaryota	NA	Corallinales	Florideophyceae	9.0	0	9.0	0	0
Eukaryota	NA	Cryptomonadales	Cryptophyta	3.0	12.0	37.0	9.0	1.0
Eukaryota	NA	Cyanidiales	Bangiophyceae	74.0	53.0	335.0	30.0	92.0
Eukaryota	NA	Dictyosteliida	NA	698.0	139.0	3894.0	190.0	208.0
Eukaryota	NA	Echinosteliales	NA	4.0	0	0	0	0
Eukaryota	NA	Euglyphida	NA	4.0	10.0	26.0	8.0	2.0
Eukaryota	NA	Euplotida	Spirotrichea	1.0	6.0	60.0	4.0	41.0
Eukaryota	NA	Gigartinales	Florideophyceae	28.0	11.0	107.0	26.0	47.0
Eukaryota	NA	Glaucocystales	Glaucocystophyceae	2.0	1.0	20.0	0	1.0
Eukaryota	NA	Glissomonadida	NA	2.0	0	6.0	1.0	0
Eukaryota	NA	Gonyaulacales	Dinophyceae	6.0	0	4.0	0	0
Eukaryota	NA	Gracilariales	Florideophyceae	10.0	2.0	22.0	0	6.0
Eukaryota	NA	Gymnodiniales	Dinophyceae	6.0	13.0	199.0	7.0	5.0
Eukaryota	NA	Haptorida	Litostomatea	1.0	0	10.0	17.0	0
Eukaryota	NA	Heterotrichida	Heterotrichea	33.0	20.0	333.0	67.0	364.0
Eukaryota	NA	Himatismenida	NA	6.0	0	6.0	0	0
Eukaryota	NA	Hymenostomatida	Oligohymenophorea	19.0	52.0	1768.0	308.0	116.0
Eukaryota	NA	Isochrysidales	NA	57.0	89.0	846.0	151.0	32.0
Eukaryota	NA	Kinetoplastida	NA	423.0	175.0	4755.0	3282.0	137.0
Eukaryota	NA	Liceales	NA	1.0	0	7.0	0	1.0
Eukaryota	NA	Longamoebia	NA	393.0	94.0	2376.0	134.0	105.0
Eukaryota	NA	Myzocytiopsidales	Oomycetes	1.0	2.0	0	4.0	0
Eukaryota	NA	NA	Dinophyceae	2.0	3.0	21.0	1.0	4.0
Eukaryota	NA	NA	Florideophyceae	5.0	18.0	31.0	6.0	4.0
Eukaryota	NA	NA	Glaucocystophyceae	11.0	5.0	51.0	18.0	24.0
Eukaryota	NA	NA	Heterolobosea	5.0	24.0	34.0	3.0	0
Eukaryota	NA	NA	Katablepharidophyta	4.0	0	29.0	0	0
Eukaryota	NA	NA	Labyrinthulomycetes	7.0	4.0	29.0	5.0	0
Eukaryota	NA	NA	NA	4295.0	1784.0	21508.0	1959.0	2049.0
Eukaryota	NA	NA	Oomycetes	7.0	10.0	93.0	9.0	8.0
Eukaryota	NA	Nemaliales	Florideophyceae	1.0	1.0	5.0	0	0
Eukaryota	NA	Oxyrrhinales	Dinophyceae	1.0	0	48.0	2.0	1.0
Eukaryota	NA	Palmariales	Florideophyceae	1.0	1.0	0	0	0
Eukaryota	NA	Parmales	Synurophyceae	1.0	4.0	6.0	1.0	0
Eukaryota	NA	Pavlovales	NA	2.0	1.0	8.0	0	0
Eukaryota	NA	Pelagomonadales	Pelagophyceae	23.0	18.0	228.0	36.0	89.0
Eukaryota	NA	Peniculida	Oligohymenophorea	16.0	22.0	952.0	170.0	135.0
Eukaryota	NA	Peridiniales	Dinophyceae	14.0	0	42.0	2.0	0
Eukaryota	NA	Perkinsida	NA	114.0	25.0	237.0	65.0	134.0
Eukaryota	NA	Peronosporales	Oomycetes	997.0	1419.0	4005.0	1118.0	295.0
Eukaryota	NA	Philasterida	Oligohymenophorea	4.0	48.0	818.0	139.0	57.0
Eukaryota	NA	Physariida	NA	44.0	4.0	364.0	13.0	12.0
Eukaryota	NA	Prorocentrales	Dinophyceae	1.0	0	5.0	2.0	0
Eukaryota	NA	Protosteliales	NA	54.0	11.0	118.0	4.0	5.0
Eukaryota	NA	Prymnesiales	NA	30.0	10.0	135.0	21.0	25.0
Eukaryota	NA	Pyrenomonadales	Cryptophyta	129.0	52.0	1062.0	70.0	87.0
Eukaryota	NA	Pythiales	Oomycetes	2.0	3.0	5.0	2.0	1.0
Eukaryota	NA	Rhodochaetales	Compsopogonophyceae	3.0	0	0	1.0	0
Eukaryota	NA	Saprolegniales	Oomycetes	101.0	70.0	441.0	62.0	34.0
Eukaryota	NA	Schizopyrenida	Heterolobosea	65.0	117.0	347.0	182.0	40.0
Eukaryota	NA	Slopalinida	NA	1.0	0	1.0	4.0	29.0
Eukaryota	NA	Sporadotrichida	Spirotrichea	135.0	1515.0	22564.0	1492.0	4923.0
Eukaryota	NA	Sticholonchida	NA	35.0	7.0	50.0	14.0	0
Eukaryota	NA	Suessiales	Dinophyceae	22.0	14.0	216.0	41.0	25.0
Eukaryota	NA	Synurales	Synurophyceae	1.0	8.0	12.0	2.0	4.0
Eukaryota	NA	Thaumatomonadida	NA	3.0	11.0	84.0	8.0	9.0
Eukaryota	NA	Trichomonadida	NA	6.0	5.0	47.0	3.0	7.0
Eukaryota	NA	Tritrichomonadida	NA	6.0	5.0	14.0	5.0	13.0
Eukaryota	NA	Vampyrellida	NA	12.0	0	159.0	1.0	0
Eukaryota	Neocallimastigomycota	Neocallimastigales	Neocallimastigomycetes	888.0	404.0	2952.0	435.0	140.0
Eukaryota	Phaeophyceae	Dictyotales	NA	1.0	0	0	5.0	0
Eukaryota	Phaeophyceae	Ectocarpales	NA	221.0	379.0	3342.0	665.0	2548.0
Eukaryota	Phaeophyceae	Laminariales	NA	2.0	0	2.0	3.0	6.0
Eukaryota	Xanthophyceae	Vaucheriales	NA	1.0	0	12.0	2.0	0
Eukaryota	Zoopagomycota	Basidiobolales	Basidiobolomycetes	86.0	21.0	192.0	25.0	18.0
Eukaryota	Zoopagomycota	Entomophthorales	Entomophthoromycetes	19.0	18.0	263.0	19.0	13.0
Eukaryota	Zoopagomycota	Harpellales	NA	39.0	25.0	199.0	18.0	52.0
Eukaryota	Zoopagomycota	Kickxellales	NA	14.0	5.0	305.0	11.0	14.0
Eukaryota	Zoopagomycota	NA	NA	3.0	0	23.0	1.0	4.0
NA	NA	NA	NA	1473.0	933.0	3126.0	4103.0	3088.0
Viruses	NA	Bunyavirales	NA	2.0	0	8.0	0	0
Viruses	NA	Caudovirales	NA	6.0	14.0	1.0	30.0	32.0
Viruses	NA	NA	NA	266.0	219.0	313.0	1942.0	434.0
Archaea	Candidatus Aenigmarchaeota	NA	NA	0	1.0	0	1.0	1.0
Archaea	Candidatus Parvarchaeota	NA	NA	0	2.0	1.0	2.0	1.0
Archaea	Euryarchaeota	NA	Candidatus Thalassoarchaea	0	4.0	0	2.0	1.0
Archaea	Thaumarchaeota	Candidatus Nitrosocaldales	Nitrososphaeria	0	3.0	0	0	0
Bacteria	Candidatus Andersenbacteria	NA	NA	0	4.0	11.0	12.0	0
Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacterales	Candidatus Peribacteria	0	1.0	0	0	0
Bacteria	Candidatus Tagabacteria	NA	NA	0	2.0	0	3.0	2.0
Bacteria	Chloroflexi	NA	Chloroflexia	0	2.0	1.0	2.0	0
Bacteria	Deinococcus-Thermus	NA	NA	0	1.0	0	0	0
Bacteria	Fusobacteria	NA	Fusobacteriia	0	2.0	2.0	7.0	9.0
Bacteria	Spirochaetes	Brevinematales	Spirochaetia	0	4.0	0	1.0	0
Bacteria	Thermotogae	NA	Thermotogae	0	2.0	0	1.0	1.0
Eukaryota	Ascomycota	Coniochaetales	Sordariomycetes	0	1.0	8.0	3.0	13.0
Eukaryota	Ascomycota	Mytilinidiales	Dothideomycetes	0	3.0	48.0	2.0	0
Eukaryota	Ascomycota	Trapeliales	Lecanoromycetes	0	2.0	0	0	0
Eukaryota	Bacillariophyta	Melosirales	Coscinodiscophyceae	0	4.0	0	0	0
Eukaryota	Basidiomycota	Thelephorales	Agaricomycetes	0	8.0	1.0	0	0
Eukaryota	Bolidophyceae	NA	NA	0	2.0	9.0	0	0
Eukaryota	Chlorophyta	Dolichomastigales	Mamiellophyceae	0	4.0	0	0	0
Eukaryota	Chlorophyta	Monomastigales	Mamiellophyceae	0	1.0	1.0	2.0	0
Eukaryota	Chlorophyta	NA	Chlorophyceae	0	9.0	14.0	1.0	3.0
Eukaryota	Chlorophyta	NA	Nephroselmidophyceae	0	1.0	1.0	0	0
Eukaryota	Chlorophyta	Prasinococcales	NA	0	3.0	7.0	0	0
Eukaryota	Chytridiomycota	Cladochytriales	Chytridiomycetes	0	1.0	12.0	0	0
Eukaryota	NA	Armophorida	Armophorea	0	2.0	29.0	3.0	398.0
Eukaryota	NA	Chromulinales	Chrysophyceae	0	2.0	10.0	1.0	0
Eukaryota	NA	Dinophysiales	Dinophyceae	0	1.0	1.0	0	0
Eukaryota	NA	Gelidiales	Florideophyceae	0	4.0	0	0	0
Eukaryota	NA	Gloeochaetales	Glaucocystophyceae	0	1.0	0	0	0
